Specimen properties : Specimen label,"orgn_80_NA_2_wblk_3ptbnd_run4"
Maximum Load : Flexure extension at Maximum Load,"1.60063",in
Maximum Load : Maximum Load,"133.21203",lbf

Time,Extension,Load
(s),(in),(lbf)
"49.70000","0.89749","21.42436"
"49.80000","0.89763","21.54317"
"49.90000","0.89776","20.91304"
"50.00000","0.89788","21.26507"
"50.10000","0.89802","21.59509"
"50.20000","0.89814","21.54757"
"50.30000","0.89828","21.58453"
"50.40000","0.89841","21.42788"
"50.50000","0.89854","21.64878"
"50.60000","0.89867","21.54493"
"50.70000","0.89879","21.24659"
"50.80000","0.89893","21.46308"
"50.90000","0.89906","21.76407"
"51.00000","0.89919","21.94184"
"51.10000","0.89932","21.78607"
"51.20000","0.89945","21.39884"
"51.30000","0.89959","21.71478"
"51.40000","0.89971","21.42348"
"51.50000","0.89985","21.95152"
"51.60000","0.89998","21.77551"
"51.70000","0.90012","21.53525"
"51.80000","0.90025","21.44636"
"51.90000","0.90037","21.63910"
"52.00000","0.90051","21.80719"
"52.10000","0.90063","22.12402"
"52.20000","0.90076","21.56077"
"52.30000","0.90089","21.31875"
"52.40000","0.90101","21.61974"
"52.50000","0.90115","21.88024"
"52.60000","0.90128","21.70598"
"52.70000","0.90142","21.82391"
"52.80000","0.90154","22.15482"
"52.90000","0.90169","22.02457"
"53.00000","0.90181","21.51061"
"53.10000","0.90196","21.88288"
"53.20000","0.90209","21.61710"
"53.30000","0.90223","21.90048"
"53.40000","0.90235","22.05097"
"53.50000","0.90248","21.78167"
"53.60000","0.90261","21.89696"
"53.70000","0.90274","21.59245"
"53.80000","0.90288","21.86704"
"53.90000","0.90300","21.75087"
"54.00000","0.90312","22.29915"
"54.10000","0.90326","21.82919"
"54.20000","0.90338","22.21819"
"54.30000","0.90352","21.92600"
"54.40000","0.90365","22.43116"
"54.50000","0.90378","21.75087"
"54.60000","0.90393","21.98673"
"54.70000","0.90406","21.88640"
"54.80000","0.90418","22.36692"
"54.90000","0.90432","22.21379"
"55.00000","0.90446","22.28595"
"55.10000","0.90458","22.16802"
"55.20000","0.90472","22.41004"
"55.30000","0.90484","22.35548"
"55.40000","0.90496","21.83888"
"55.50000","0.90511","22.40300"
"55.60000","0.90523","22.27539"
"55.70000","0.90535","22.02721"
"55.80000","0.90549","22.29123"
"55.90000","0.90562","22.64678"
"56.00000","0.90576","22.30795"
"56.10000","0.90589","22.43733"
"56.20000","0.90602","22.14426"
"56.30000","0.90615","21.90488"
"56.40000","0.90629","22.50333"
"56.50000","0.90642","22.48045"
"56.60000","0.90656","22.36692"
"56.70000","0.90669","22.53589"
"56.80000","0.90681","22.65030"
"56.90000","0.90695","22.80607"
"57.00000","0.90708","22.80783"
"57.10000","0.90719","22.49805"
"57.20000","0.90733","22.49893"
"57.30000","0.90745","22.42060"
"57.40000","0.90759","22.59926"
"57.50000","0.90772","22.44260"
"57.60000","0.90784","22.28067"
"57.70000","0.90798","22.44260"
"57.80000","0.90811","22.25075"
"57.90000","0.90825","22.52533"
"58.00000","0.90838","22.93456"
"58.10000","0.90852","22.96185"
"58.20000","0.90865","22.38012"
"58.30000","0.90878","22.75767"
"58.40000","0.90892","22.96009"
"58.50000","0.90905","22.56758"
"58.60000","0.90917","23.04810"
"58.70000","0.90930","22.71631"
"58.80000","0.90943","22.63974"
"58.90000","0.90955","22.87384"
"59.00000","0.90968","23.03753"
"59.10000","0.90981","22.87560"
"59.20000","0.90994","22.97769"
"59.30000","0.91008","23.04282"
"59.40000","0.91021","22.29211"
"59.50000","0.91035","22.81927"
"59.60000","0.91048","23.34732"
"59.70000","0.91062","23.05865"
"59.80000","0.91075","22.86680"
"59.90000","0.91088","22.60102"
"60.00000","0.91101","22.93281"
"60.10000","0.91114","22.73567"
"60.20000","0.91128","22.67494"
"60.30000","0.91140","22.87472"
"60.40000","0.91154","22.98561"
"60.50000","0.91166","22.99705"
"60.60000","0.91179","22.86328"
"60.70000","0.91193","23.04721"
"60.80000","0.91205","22.89848"
"60.90000","0.91219","22.95745"
"61.00000","0.91232","23.04017"
"61.10000","0.91245","23.25755"
"61.20000","0.91258","23.34644"
"61.30000","0.91272","23.24083"
"61.40000","0.91285","22.99705"
"61.50000","0.91298","23.50925"
"61.60000","0.91312","23.63422"
"61.70000","0.91325","23.48725"
"61.80000","0.91337","23.04193"
"61.90000","0.91351","23.16162"
"62.00000","0.91363","23.33588"
"62.10000","0.91376","23.44501"
"62.20000","0.91389","23.53565"
"62.30000","0.91401","23.32796"
"62.40000","0.91415","23.45381"
"62.50000","0.91428","23.84632"
"62.60000","0.91442","23.46173"
"62.70000","0.91455","23.63334"
"62.80000","0.91468","23.33148"
"62.90000","0.91481","23.38428"
"63.00000","0.91496","23.50749"
"63.10000","0.91508","23.53565"
"63.20000","0.91521","23.54973"
"63.30000","0.91535","23.34908"
"63.40000","0.91547","23.34028"
"63.50000","0.91561","23.10178"
"63.60000","0.91574","23.26899"
"63.70000","0.91586","23.57614"
"63.80000","0.91599","23.25755"
"63.90000","0.91612","23.51277"
"64.00000","0.91626","23.45821"
"64.10000","0.91638","23.45029"
"64.20000","0.91652","23.65358"
"64.30000","0.91664","23.52773"
"64.40000","0.91677","23.43621"
"64.50000","0.91691","23.61574"
"64.60000","0.91704","23.61398"
"64.70000","0.91718","23.78031"
"64.80000","0.91731","23.46701"
"64.90000","0.91743","23.99769"
"65.00000","0.91757","24.12178"
"65.10000","0.91770","23.62366"
"65.20000","0.91783","23.41772"
"65.30000","0.91795","23.56910"
"65.40000","0.91810","23.72223"
"65.50000","0.91822","23.45909"
"65.60000","0.91835","23.63070"
"65.70000","0.91848","23.90440"
"65.80000","0.91860","24.01442"
"65.90000","0.91874","23.83664"
"66.00000","0.91887","23.83664"
"66.10000","0.91901","23.72223"
"66.20000","0.91914","23.87096"
"66.30000","0.91927","23.65975"
"66.40000","0.91940","23.99593"
"66.50000","0.91954","23.94753"
"66.60000","0.91967","23.90704"
"66.70000","0.91979","24.05402"
"66.80000","0.91994","23.67735"
"66.90000","0.92006","23.98977"
"67.00000","0.92019","24.25555"
"67.10000","0.92032","24.01529"
"67.20000","0.92044","24.12178"
"67.30000","0.92056","23.86480"
"67.40000","0.92071","23.72839"
"67.50000","0.92083","23.52773"
"67.60000","0.92097","23.85864"
"67.70000","0.92110","24.21947"
"67.80000","0.92124","24.07866"
"67.90000","0.92137","24.00033"
"68.00000","0.92151","24.05490"
"68.10000","0.92164","24.32596"
"68.20000","0.92178","24.36204"
"68.30000","0.92191","24.21243"
"68.40000","0.92205","24.14291"
"68.50000","0.92217","24.51165"
"68.60000","0.92230","24.36204"
"68.70000","0.92242","24.27844"
"68.80000","0.92255","24.09450"
"68.90000","0.92268","24.08570"
"69.00000","0.92281","24.38844"
"69.10000","0.92294","24.38492"
"69.20000","0.92308","24.37700"
"69.30000","0.92320","24.14555"
"69.40000","0.92333","24.39108"
"69.50000","0.92347","24.44477"
"69.60000","0.92360","24.20187"
"69.70000","0.92374","24.38228"
"69.80000","0.92387","24.35060"
"69.90000","0.92401","24.60406"
"70.00000","0.92414","24.33740"
"70.10000","0.92427","24.45621"
"70.20000","0.92439","24.09978"
"70.30000","0.92452","24.30748"
"70.40000","0.92466","24.57414"
"70.50000","0.92478","24.54598"
"70.60000","0.92492","24.31716"
"70.70000","0.92504","24.36908"
"70.80000","0.92517","24.44213"
"70.90000","0.92530","24.85928"
"71.00000","0.92543","24.47645"
"71.10000","0.92557","24.32948"
"71.20000","0.92570","24.69823"
"71.30000","0.92584","24.63222"
"71.40000","0.92597","24.70263"
"71.50000","0.92611","24.53101"
"71.60000","0.92623","24.60934"
"71.70000","0.92637","24.82936"
"71.80000","0.92650","24.29956"
"71.90000","0.92662","24.67887"
"72.00000","0.92676","24.64102"
"72.10000","0.92689","24.58822"
"72.20000","0.92701","24.59174"
"72.30000","0.92715","24.98249"
"72.40000","0.92727","24.97985"
"72.50000","0.92740","24.62958"
"72.60000","0.92754","24.73167"
"72.70000","0.92768","24.76072"
"72.80000","0.92780","24.80648"
"72.90000","0.92793","24.92793"
"73.00000","0.92807","24.72199"
"73.10000","0.92820","25.08546"
"73.20000","0.92834","24.43421"
"73.30000","0.92847","24.90945"
"73.40000","0.92860","24.83816"
"73.50000","0.92873","25.09602"
"73.60000","0.92886","25.21483"
"73.70000","0.92899","25.41549"
"73.80000","0.92912","25.25444"
"73.90000","0.92925","24.54422"
"74.00000","0.92937","24.91033"
"74.10000","0.92952","24.86544"
"74.20000","0.92964","24.79240"
"74.30000","0.92976","25.25972"
"74.40000","0.92990","25.15587"
"74.50000","0.93003","25.11274"
"74.60000","0.93017","25.18051"
"74.70000","0.93030","25.19459"
"74.80000","0.93044","24.81880"
"74.90000","0.93057","24.83376"
"75.00000","0.93070","25.59414"
"75.10000","0.93083","25.08898"
"75.20000","0.93096","24.93585"
"75.30000","0.93110","25.01770"
"75.40000","0.93121","25.08018"
"75.50000","0.93135","25.23067"
"75.60000","0.93148","25.34948"
"75.70000","0.93160","25.06786"
"75.80000","0.93174","25.31956"
"75.90000","0.93186","25.19635"
"76.00000","0.93199","25.62406"
"76.10000","0.93214","25.40317"
"76.20000","0.93226","25.29756"
"76.30000","0.93240","24.92353"
"76.40000","0.93253","25.30372"
"76.50000","0.93267","25.55718"
"76.60000","0.93279","25.49205"
"76.70000","0.93293","25.51934"
"76.80000","0.93306","25.39437"
"76.90000","0.93319","25.49293"
"77.00000","0.93332","25.04586"
"77.10000","0.93344","25.28700"
"77.20000","0.93358","25.44189"
"77.30000","0.93370","25.20779"
"77.40000","0.93383","25.52374"
"77.50000","0.93397","25.57302"
"77.60000","0.93410","25.25004"
"77.70000","0.93423","25.23155"
"77.80000","0.93436","25.24564"
"77.90000","0.93451","25.43397"
"78.00000","0.93463","25.53782"
"78.10000","0.93478","25.64783"
"78.20000","0.93490","25.68655"
"78.30000","0.93503","25.50614"
"78.40000","0.93517","26.01306"
"78.50000","0.93529","25.80800"
"78.60000","0.93542","25.43133"
"78.70000","0.93555","26.00778"
"78.80000","0.93568","25.84496"
